pseudonym,condition,skewing,target,trend,comparison2,explevel,experience,meanscore,highestscore,rounds,selfesteem,imi,vgse,scolevel,sco,age,sex,education
 b61bafec-5181-7bd4-4384-3cc926f1b247,0,0,1,0,1,0,1,1.142857143,3,7,6,2.125,1.5,0,1.166666667,61,Female,College graduate
 317bf375-a7e2-3216-b7a4-ce3f0b977da0,6,,1,1,1,0,1,1.083333333,3,12,7,3.875,2.6,0,1.333333333,66,Male,Some graduate school
 feea0bb3-abdf-cf18-674b-1cb78308e7ab,2,0,2,0,1,0,1,0.5,3,11,6,2.25,1,0,1.666666667,51,Female,College graduate
 626ba330-59b3-a9cf-a99f-8b096288acb0,3,1,1,0,1,0,1,1.142857143,5,7,5,1.75,2.9,0,1.666666667,32,Female,High school
 f052e5b1-5a2b-bfab-3648-37abbc69ba6e,3,1,1,0,1,0,1,1,2,3,7,2.75,1,0,1.833333333,43,Female,College graduate
 803600f1-4da7-4a57-efb6-487517959b8b,4,1,0,0,127,0,1,1.066666667,4,15,4,1.25,1.7,0,2,60,Female,Some college
 c0a8c993-4232-8017-b7e3-9348eacd894e,2,0,2,0,1,0,1,11.3125,48,32,6,5,4.2,0,2,35,Female,High school
 bc53ad43-0688-e181-672e-ec21558b5a3b,0,0,1,0,1,0,1,2.619047619,9,41,4,5,1,,2.333333333,49,Female,High school
 8dd6bf95-9f37-fd2c-2967-a67c570d7706,1,0,0,0,127,0,1,2.166666667,6,5,3,3.375,2.4,,3.166666667,30,Female,Graduate degree
 2cff49f3-44cb-2592-23a9-92f4e6a7ee2f,0,0,1,0,1,0,1,3.75,13,4,6,4,2,,3.333333333,25,Female,Graduate degree
 14b1fc7e-5818-ea05-5f31-bacdcc8eb498,6,,1,1,1,0,1,17.2,29,5,7,4.125,3.8,,3.666666667,53,Female,Some college
 86417f6a-fa3b-3f6d-a60b-4ee2ceb21efd,4,1,0,0,127,0,1,1.242424242,5,32,5,4.25,3.7,1,4,43,Female,College graduate
 2cbd1d09-81af-afd2-4630-c767086f9442,5,1,2,0,1,0,1,3.608695652,6,23,5,3.125,4.2,1,4,44,Female,Some college
 7efa64c7-1929-0b40-e98f-8deb9dce2072,3,1,1,0,1,0,1,3.1,10,20,6,2.5,5,1,4,28,Female,Some college
 c33ebf53-1fa9-e26e-ea29-c93b8b0c0995,5,1,2,0,1,0,1,6.227272727,12,22,7,4.625,4.8,1,4.166666667,40,Male,Vocational training
 25cc144a-fe32-eb10-a6ce-412f0a166b63,2,0,2,0,19,0,2,1.416666667,5,12,6,4.125,4.2,0,1.5,55,Female,Vocational training
 3124cbdf-fe3b-686c-552b-53b000b73e5f,1,0,0,0,127,0,2,0.846153846,4,12,5,6,3.9,0,1.666666667,65,Female,High school
 fd4aa0ec-b40b-7209-e69c-c4e7ecd377d9,7,,0,1,127,0,2,2,5,8,7,5,2.3,0,1.833333333,61,Female,College graduate
 226c402e-7e7b-4425-10b6-1b9055ed497f,1,0,0,0,127,0,2,0.8,3,4,4,3.625,3.6,0,2,39,Female,High school
 d6937265-006e-62bd-1b54-d142fde08fd1,1,0,0,0,127,0,2,2.333333333,8,12,5,3.5,2.9,0,2,44,Male,Graduate degree
 1cff408b-c5b4-3d19-4d22-816bf3324f16,2,0,2,0,19,0,2,4,11,4,5,4,4,0,2,41,Male,Some graduate school
 b8f305c4-451a-cec2-f65e-c9459d6daa35,7,,0,1,127,0,2,4,17,11,4,4,3.8,0,2,32,Female,Some graduate school
 1d850d3d-6655-3a2a-9633-8bea43de03e2,4,1,0,0,127,0,2,1.8,4,5,3,5.5,2.8,,2.166666667,38,Female,Some college
 8ceea9c0-6cdf-2534-aa7b-44c23b187b9a,8,,2,1,19,0,2,1.055555556,6,35,3,4.375,3.2,,2.166666667,54,Female,Some college
 4853cb2c-68cd-4dfb-40af-baa6a91f58ab,0,0,1,0,19,0,2,2.642857143,7,13,4,2.75,2.3,,2.166666667,47,Female,High school
 922a8fbc-d409-f3df-9373-5cc788056a5c,2,0,2,0,19,0,2,2.307692308,10,12,6,3.875,2.9,,2.166666667,60,Male,Some graduate school
 d54036e6-b57f-c5ac-29d6-b4560c76d051,6,,1,1,19,0,2,0.125,1,8,5,3.625,3.9,,2.333333333,40,Female,Some college
 1d88ff1e-db03-3379-703f-833ba43bd774,4,1,0,0,127,0,2,0.5,2,10,4,3.625,3.9,,2.333333333,52,Female,Some college
 907f71a9-00b7-35bb-4213-ea75b97f281d,8,,2,1,19,0,2,0.666666667,2,5,3,2.625,3.2,,2.333333333,54,Female,College graduate
 f842c6fd-f302-2d9a-f707-1b8da88cbbbc,2,0,2,0,19,0,2,0.666666667,2,3,6,3.75,2.7,,2.333333333,47,Female,Graduate degree
 4541a715-9c13-7021-5f1e-31bd27617f5d,1,0,0,0,127,0,2,0.8,2,5,4,3,3,,2.333333333,32,Female,Some college
 e7377764-e494-d070-6f02-7834fce2962d,0,0,1,0,19,0,2,1.055555556,9,20,5,4.125,2.1,,2.333333333,59,Female,College graduate
 33808b04-14c0-57ee-379b-3bc3741847d9,4,1,0,0,127,0,2,2.578947368,10,19,7,5.375,5,,2.333333333,25,Male,Some college
 2acae3cd-fbdb-58c5-47f0-a18cc5f2666d,0,0,1,0,19,0,2,1.285714286,4,7,6,4,2,,2.5,30,Female,College graduate
 7114574e-9c52-df2d-c142-b3cb494fd24d,2,0,2,0,19,0,2,1,1,2,6,3.25,3.8,,2.666666667,63,Female,Some college
 2c80e6bf-514c-1c69-55b4-71b916c92505,1,0,0,0,127,0,2,2.6,5,4,6,2.25,1.5,,2.833333333,33,Female,Graduate degree
 60112606-1502-9d52-0b03-b8923dc30e91,8,,2,1,19,0,2,7,17,4,5,3.875,3.5,,2.833333333,25,Male,Some college
 5f2f95f7-d113-82b1-caa9-7cedb80a778b,3,1,1,0,19,0,2,9.0625,34,16,5,4.25,3.3,,2.833333333,46,Male,Some college
 9794cf7d-7f69-ae33-eef7-680ecbc2b5fc,2,0,2,0,19,0,2,0.25,2,20,5,2.875,1.9,,3,64,Female,Some college
 ed725a18-21d8-9a89-c085-1964140306c0,5,1,2,0,19,0,2,1.9375,3,16,6,4,3,,3,51,Female,Some college
